layer_number,layer_height_mm,nozzle_temperature_c,bed_temperature_c,print_speed_mm_s,infill_time_sec,travel_time_sec,dimensional_deviation_mm
1,0.2,210.74507122951684,60.162041984697396,50.0,248.4106635105026,22.33254694604143,0.039254928770483144
2,0.2,209.79260354824322,59.80745885979184,50.0,246.1347352124059,18.534282210367497,0.04020739645175678
3,0.2,210.97153280715105,59.66153899984702,40.0,314.24693618278565,19.499750500142667,0.009028467192848944
4,0.2,212.28454478461202,60.305838144420434,50.0,253.7733935338098,18.40273001964523,0.037715455215387966
5,0.2,209.648769937915,60.51549976124797,60.0,207.57941627715155,14.538158841374578,0.07035123006208499
6,0.2,209.64879456457624,60.4656400595581,50.0,251.5998404603418,21.39187749839957,0.040351205435423754
7,0.2,212.36881922326108,59.58039123838868,50.0,253.17222200201215,15.650040711731126,0.03763118077673891
8,0.2,211.15115209372937,59.84539381207439,50.0,250.55200811599462,12.3161075636089,0.038848847906270634
9,0.2,209.29578842109757,60.165631715701785,50.0,250.29650578356006,20.39113984679318,0.040704211578902416
10,0.2,210.81384006537894,60.48777256356118,60.0,207.4185229090045,14.302438832291635,0.06918615993462104
11,0.2,209.3048734607813,59.76041288107736,60.0,205.931027678059,24.225961596587887,0.0706951265392187
12,0.2,209.3014053696446,59.90717051166809,50.0,253.97215757953327,24.401071501033634,0.040698594630355384
13,0.2,210.36294340734906,59.446832512996984,50.0,254.0041805716333,23.89323707286583,0.03963705659265093
14,0.2,207.1300796330133,59.40189668795966,50.0,251.33101457273267,16.812063103320778,0.0428699203669867
15,0.2,207.41262325123046,60.406262911197096,50.0,248.390297910487,12.200936014875277,0.04258737674876953
16,0.2,209.15656870613853,60.67812001428541,40.0,308.4920957461266,24.06814131364043,0.010843431293861477
17,0.2,208.48075331949838,59.96399493920983,50.0,252.25955678870238,17.566393928125088,0.04151924668050161
18,0.2,210.47137099889292,60.501766448946015,50.0,253.97110259952578,24.566512647567706,0.03952862900110707
19,0.2,208.63796388671818,60.180818012523815,40.0,313.8708642426512,24.527059702160287,0.01136203611328182
20,0.2,207.88154444799707,59.67744012269744,50.0,252.79875545857624,23.08912292107568,0.042118455552002915
21,0.2,212.19847315338234,60.18069780275421,60.0,211.42031646154288,15.827835596904613,0.06780152684661767
22,0.2,209.6613355492702,60.76901828323298,50.0,245.8413996499505,17.00627047182503,0.04033866445072978
23,0.2,210.10129230703188,59.982086980445025,40.0,306.61628714094616,23.064776729719142,0.009898707692968106
24,0.2,207.86287772067982,60.782321827907005,50.0,253.9855418852708,16.11998606703161,0.04213712227932018
25,0.2,209.18342591321223,58.69012744795513,60.0,211.0642905965959,14.203405706919202,0.07081657408678776
26,0.2,210.1663838845648,60.41095125218761,50.0,245.0919705161663,19.238416411958553,0.039833616115435205
27,0.2,208.27350963386655,60.04352353411909,50.0,246.0147154286603,24.17001206409015,0.041726490366133434
28,0.2,210.5635470275185,59.850496324767064,50.0,251.63501769108055,21.048387356774647,0.039436452972481495
29,0.2,209.09904196512178,60.045880388267754,50.0,245.0506158384622,19.410795211161744,0.0409009580348782
30,0.2,209.56245937531008,59.00621554269955,50.0,246.608080514175,13.26329441901999,0.040437540624689905
31,0.2,209.09744008165592,59.89016405608125,50.0,250.48733789366585,19.995093947089206,0.04090255991834407
32,0.2,212.7784172767634,60.178556285755874,50.0,251.91895197692693,24.87070005135542,0.037221582723236585
33,0.2,209.9797541628931,60.73894702237076,50.0,251.51961259502602,13.821092198074812,0.040020245837106894
34,0.2,208.41343360656614,59.74086489086318,50.0,247.24269309460558,18.738285480728578,0.04158656639343386
35,0.2,211.23381736815477,59.5957531985534,40.0,312.1217922134754,23.405849935063422,0.008766182631845226
36,0.2,208.16873452504348,59.749121478207734,60.0,207.372490874968,21.629992030804658,0.07183126547495652
37,0.2,210.31329539250714,60.457701058851036,50.0,248.25399698159268,21.061204632938484,0.03968670460749285
38,0.2,207.06049481418034,60.164375554829846,40.0,312.46491405118024,21.13229309183242,0.012939505185819655
39,0.2,208.00772092665235,59.73511989811648,40.0,311.49632899047214,16.67338496585682,0.011992279073347656
40,0.2,210.2952918538037,60.25663371655668,50.0,253.4922341049418,15.816693975438413,0.03970470814619631
41,0.2,211.10769986999313,60.04853877467402,50.0,251.57612892300344,22.521695021220676,0.03889230013000686
42,0.2,210.25705242178495,60.48432249526645,40.0,310.6830860333547,22.531474130829352,0.009742947578215061
43,0.2,209.82652757641765,59.64897345306132,50.0,245.93674767828094,23.27194014154135,0.04017347242358235
44,0.2,209.54834445661606,59.83616892670111,50.0,248.67715803059434,23.872127183234127,0.040451655543383924
45,0.2,207.78221701444886,59.80394592343392,50.0,247.65202367681727,18.647451185192192,0.04221778298555112
46,0.2,208.92023368740794,59.26824252593394,40.0,307.43989643379086,18.519711830933595,0.011079766312592054
47,0.2,209.30904184356032,60.14806013853229,50.0,254.73010554752446,22.377837326568077,0.040690958156439666
48,0.2,211.58568333932837,60.130527636089944,50.0,248.9309772466676,20.449531100110946,0.03841431666067163
49,0.2,210.5154274343527,60.00255672832123,60.0,213.92046555177114,21.125569404350145,0.0694845725656473
50,0.2,207.3554397669559,59.88270643331243,40.0,311.3113862599726,22.345304702669313,0.012644560233044111
